index	image	inferred_page	proposed_page	confidence_score	cand1_page	cand1_score	cand1_text	cand2_page	cand2_score	cand2_text
14	013.jpg	3	3	-0.4545228957171952	3	-0.4545228957171952	CHAPTER 3			
83	062-2.jpg	68	68	0	68	0	68 Encyclia			
197	169.jpg	27	27	0	27	0	27 Catasetum			
198	170.jpg	27	27	0	27	0	27 Catasetum			
199	171.jpg	27	27	0	27	0	27 Catasetum			
207	179.jpg	29	29	0	29	0	29 Cycnoches			
57	044.jpg	17	17	0.24547109046920146	17	0.24547109046920146	17 Habenaria			
217	189.jpg	32	32	0.40170976146535753	32	0.40170976146535753	32 Dichaea			
194	166.jpg	25	25	0.5575580449440898	25	0.5575580449440898	25 Eriopsis			
161	133.jpg	13	13	1.3142459294541886	13	1.3142459294541886	13 Sacoila			
380	352.jpg	84	84	1.6762266595730546	84	1.6762266595730546	84 Octomeria			
208	180.jpg	29	29	1.8005952391153102	29	1.8005952391153102	29 Cycnoches	3	0.9790975887435254	noded, grooved when old, up to 7 cm long and 3.5 cm
175	147.jpg	88	88	1.8703874828302176	88	1.8703874828302176	Orchis monormnizo Sw., Prodr: I1B ((I7/88).	274	1.8393797549128674	Deussch. Bor Cesell. 3: 274(1885). Type: Jamaica,
192	164.jpg	1	1	2.072681540301893	1	2.072681540301893	1.4 m tal	4	2.072681540301893	1.4 m tal
153	125.jpg	37	37	2.3403172924585505	37	2.3403172924585505	Beih. Bat Centralh. 37 (@): 383 (1920) Type: Guate	383	2.3403172924585505	Beih. Bat Centralh. 37 (@): 383 (1920) Type: Guate
133	105.jpg	7	7	2.77093295423927	7	2.77093295423927	ck, x 7;			
98	071-2.jpg	5	5	2.783532657654301	5	2.783532657654301	.5 mm	2	2.498203792391646	•. 2
173	145.jpg	17	17	2.9552666240850733	17	2.9552666240850733	17 Habenarıa			
135	107.jpg	5	5	3.31494021263466	5	3.31494021263466	5.5 cm	5	3.31494021263466	5.5 cm
145	117.jpg	2	2	3.72324983969889	2	3.72324983969889	, 2-	3	3.143410822798682	3).
55	043.jpg	3	3	3.888717705915856	3	3.888717705915856	District 3	17	0.9660260171330703	17 Habenaria
50	041-2.jpg	126	126	3.9091472756939636	126	3.9091472756939636	126	50	0.05568188263878282	50. Leochilus Knowles & Westcott
218	190.jpg	76	76	4.095193801713965	76	4.095193801713965	76	32	0.1870373505325429	32 Dichaea
219	191.jpg	76	76	4.12620154048073	76	4.12620154048073	76	32	0.3433909080495512	32 Dichaea
382	354.jpg	226	226	4.126201543497581	226	4.126201543497581	226	85	0.6977175916816902	85 Platystele
32	026.jpg	114	114	4.216317825316619	114	4.216317825316619	114	44	1.3235104716958879	44 Lacaena
215	187.jpg	74	74	4.374263571136504	74	4.374263571136504	74	32	0.7556135357333627	32 Dichaea
230	202.jpg	81	81	4.513759705721769	81	4.513759705721769	81	323	3.2037209301116745	323 (1856).
94	069-2.jpg	5	5	4.592397058732488	5	4.592397058732488	.5 mm	24	3.8168695420917396	1. 2: 24
53	042.jpg	42	42	4.608759686610556	42	4.608759686610556	42	17	1.1487569928721075	17 Habenaria
43	036.jpg	122	122	4.649457360115131	122	4.649457360115131	122	14	1.5682262890366463	14 cm long. Flowers faintly scented, greenish-yellow
214	186.jpg	74	74	4.74635657924042	74	4.74635657924042	74	32	0	32 Dichaea
177	149.jpg	48	48	4.828720922467739	48	4.828720922467739	48	17	0.930232564215222	17 Habenaria
38	031.jpg	118	118	4.8665116237165496	118	4.8665116237165496	118	65	1.8249250277519633	spreading, up to 65 cm tall. Pseudobulbs ovoid, dark
159	131.jpg	32	32	4.897519394941588	32	4.897519394941588	32	12	0	12 Pseudogoodyera
