index,image,inferred_page,cand1_page,cand1_score,cand1_text,cand2_page,cand2_score,cand2_text,manual_page
16,014.jpg,None,,,,,,,14
18,015.jpg,None,,,,,,,15
22,018.jpg,None,,,,,,,18
26,021.jpg,None,,,,,,,21
34,027.jpg,None,,,,,,,27
36,029.jpg,None,,,,,,,29
40,032.jpg,None,,,,,,,32
45,037.jpg,None,,,,,,,37
72,054.jpg,None,,,,,,,54
75,056.jpg,None,,,,,,,56
79,059.jpg,None,,,,,,,59
81,060.jpg,None,,,,,,,60
84,062.jpg,None,,,,,,,62
87,064.jpg,None,,,,,,,64
91,067-2.jpg,None,,,,,,,217
92,067.jpg,None,,,,,,,67
93,068.jpg,None,,,,,,,68
95,069.jpg,None,,,,,,,69
96,070-2.jpg,None,,,,,,,220
100,072.jpg,None,,,,,,,222
101,073.jpg,None,,,,,,,223
102,074.jpg,None,,,,,,,224
103,075.jpg,None,,,,,,,225
104,076.jpg,None,,,,,,,226
109,081.jpg,None,,,,,,,231
110,082.jpg,None,,,,,,,232
111,083.jpg,None,,,,,,,233
112,084.jpg,None,,,,,,,234
113,085.jpg,None,,,,,,,234
116,088.jpg,None,,,,,,,237
118,090.jpg,None,,,,,,,239
119,091.jpg,None,,,,,,,239
120,092.jpg,None,,,,,,,240
122,094.jpg,None,,,,,,,242
123,095.jpg,None,,,,,,,243
124,096.jpg,None,,,,,,,244
125,097.jpg,None,,,,,,,244
127,099.jpg,None,,,,,,,246
128,100.jpg,None,,,,,,,247
129,101.jpg,None,,,,,,,248
130,102.jpg,None,,,,,,,248
132,104.jpg,None,,,,,,,250
134,106.jpg,None,,,,,,,252
136,108.jpg,None,,,,,,,253
138,110.jpg,None,,,,,,,254
139,111.jpg,None,,,,,,,255
140,112.jpg,None,,,,,,,255
142,114.jpg,None,,,,,,,257
147,119.jpg,None,,,,,,,259
148,120.jpg,None,,,,,,,260
149,121.jpg,None,,,,,,,261
182,154.jpg,None,,,,,,,52
225,197.jpg,None,,,,,,,78
233,205.jpg,None,,,,,,,84
242,214.jpg,None,,,,,,,89
242,360.jpg,None,,,,,,,120
