page	image	proposed_source	inferred_page
3	013.jpg	ocr_low_confidence	3
3	043.jpg	ocr_low_confidence	3
3	079.jpg	ocr_low_confidence	3
5	069-2.jpg	ocr_low_confidence	5
5	071-2.jpg	ocr_low_confidence	5
5	107.jpg	ocr_low_confidence	5
7	098.jpg	ocr_low_confidence	7
7	105.jpg	ocr_low_confidence	7
17	044.jpg	ocr_low_confidence	17
17	145.jpg	ocr_low_confidence	17
25	126.jpg	ocr_low_confidence	25
25	166.jpg	ocr_low_confidence	25
27	027.jpg	manual_override	None
27	169.jpg	ocr_low_confidence	27
27	170.jpg	ocr_low_confidence	27
27	171.jpg	ocr_low_confidence	27
29	029.jpg	manual_override	None
29	179.jpg	ocr_low_confidence	29
29	180.jpg	ocr_low_confidence	29
31	093.jpg	ocr_low_confidence	31
31	130.jpg	ocr_low_confidence	31
32	032.jpg	manual_override	None
32	131.jpg	ocr_low_confidence	32
32	189.jpg	ocr_low_confidence	32
37	037.jpg	manual_override	None
37	125.jpg	ocr_low_confidence	37
37	136.jpg	strict_interpolation	37
40	040.jpg	ocr_low_confidence	40
40	139.jpg	strict_interpolation	40
40	143.jpg	ocr_low_confidence	40
41	041.jpg	ocr_low_confidence	41
41	140.jpg	strict_interpolation	41
41	144.jpg	ocr_low_confidence	41
42	042.jpg	ocr_low_confidence	42
42	141.jpg	strict_interpolation	42
45	045.jpg	ocr_low_confidence	45
45	146.jpg	ocr_low_confidence	45
47	047.jpg	ocr_low_confidence	47
47	148.jpg	ocr_low_confidence	47
48	048.jpg	ocr_low_confidence	48
48	149.jpg	ocr_low_confidence	48
50	151.jpg	ocr_low_confidence	50
50	152.jpg	ocr_anchor	50
53	077.jpg	ocr_low_confidence	53
53	156.jpg	ocr_low_confidence	53
54	054.jpg	manual_override	None
54	157.jpg	ocr_low_confidence	54
54	282.jpg	ocr_anchor	54
56	056.jpg	manual_override	None
56	159.jpg	strict_interpolation	22
59	059.jpg	manual_override	None
59	071.jpg	ocr_low_confidence	59
59	162.jpg	strict_interpolation	None
60	060.jpg	manual_override	None
60	163.jpg	ocr_anchor	60
63	167.jpg	ocr_anchor	63
63	168.jpg	ocr_low_confidence	63
66	066.jpg	ocr_low_confidence	66
66	173.jpg	ocr_anchor	66
66	174.jpg	ocr_anchor	66
66	175.jpg	ocr_low_confidence	66
66	176.jpg	ocr_low_confidence	66
67	067.jpg	manual_override	None
67	177.jpg	ocr_low_confidence	67
68	062-2.jpg	ocr_low_confidence	68
68	068.jpg	manual_override	None
68	178.jpg	ocr_low_confidence	68
69	069.jpg	manual_override	None
69	181.jpg	ocr_low_confidence	69
70	070.jpg	ocr_low_confidence	70
70	182.jpg	ocr_low_confidence	70
74	186.jpg	ocr_low_confidence	74
74	187.jpg	ocr_low_confidence	74
76	190.jpg	ocr_low_confidence	76
76	191.jpg	ocr_low_confidence	76
76	193.jpg	ocr_low_confidence	76
76	194.jpg	ocr_low_confidence	76
77	192.jpg	ocr_low_confidence	77
77	195.jpg	ocr_low_confidence	77
78	196.jpg	ocr_low_confidence	78
78	197.jpg	manual_override	None
78	198.jpg	ocr_low_confidence	78
