page_number,candidate_count,candidates,primary_image,supplemental_regions,status,review_reasons,reviewer,review_date,remarks
13,1,013.jpg|3024x4032|7480646|089997ed99682d840c9e5b7132fa9daea7fbc1836f52be688c2f40ac7ecc34a7,,[],unreviewed,,,,
14,1,014.jpg|3024x4032|3384555|99ca33dc9678430b5e272bed535b9ec6c4f3dba7489a014184f3717ea53dd76f,,[],unreviewed,,,,
15,1,015.jpg|3024x4032|3825614|3df617765e53f33eafaa8a1e219bc5ce090935bbc3541bbc65d8be6be4b25f8a,,[],unreviewed,,,,
16,0,,,[],missing,incomplete,github-copilot,2026-07-25,No source file. Neighboring captures 015.jpg and 018.jpg establish the sequence gap and do not contain this page.
17,0,,,[],missing,incomplete,github-copilot,2026-07-25,No source file. Neighboring captures 015.jpg and 018.jpg establish the sequence gap and do not contain this page.
18,1,018.jpg|3024x4032|3158454|3cfb7b1640ea39c53bd494120d06f00a8376c6ef722ebb68c740ac0c38235145,,[],unreviewed,,,,
19,1,019.jpg|3024x4032|7434068|99ec165150b31858e882439f897790617df20e7d72dc4f84f53cb9ebb582ad39,,[],unreviewed,,,,
20,1,020.jpg|3024x4032|7546166|12b7c06e6c2f8e0dae32589002b2217176a8f2978622c0b2a233d0a63468850c,,[],unreviewed,,,,
21,1,021.jpg|3024x4032|3493455|1e02c387849302cc26c20ec67a7bf08d377036dea35a8098bae3b112f9b45b55,,[],unreviewed,,,,
22,1,022.jpg|3024x4032|3153917|22c41aab736af50ed74ad9ff788b62050c2fe217f08fd04a1cfb86f5171f50f1,,[],unreviewed,,,,
23,1,023.jpg|3024x4032|7538717|8bf245a136c81c888d4b3b0a776e600ec44bb1c2b9a2cbc92bb762344c97bf56,,[],unreviewed,,,,
24,1,024.jpg|3024x4032|9010738|f41591334833b7b64bd7b841a9c73fc3e4b7b7d505f3dc87898d001350732ea2,,[],unreviewed,,,,
25,1,025.jpg|3024x4032|6508316|4ec2860e4f989733a7f253f3d27a7c8f20fcb0f6b76f00795e64c58e9adafafc,,[],unreviewed,,,,
26,1,026.jpg|3024x4032|6689584|ca57bf93c4dfb9247fb3180378a1228db32292d244375d540041a0add6d6e87e,,[],unreviewed,,,,
27,1,027.jpg|3024x4032|3576518|5b432d2ae9c1ca4fd5770891e911cfbf39236d6d30d468691728c6b183b93f13,,[],unreviewed,,,,
28,1,028.jpg|3024x4032|7607552|2bc21d8cf9feddd947ad57129fc3e670fbd09810799dc67b963f6a95b5bb4684,,[],unreviewed,,,,
29,1,029.jpg|3024x4032|3255568|2a571ee47b2c92b1066d8e0c4cf2bea23664612dfa44de97c09c222b9c13e15a,,[],unreviewed,,,,
30,1,030.jpg|3024x4032|7332081|a9d68cfcb4d08a8c0a96cc21149ee797bc1c5c6284a8f1a7f551b5bab08a38c8,,[],unreviewed,,,,
31,1,031.jpg|3024x4032|7621596|0f76d98d4401465f7cd03d60faf0dce773fba7e1f9521a20f9ec56b2f9f36be1,,[],unreviewed,,,,
32,2,032.jpg|3024x4032|6347475|ece4a0eb81337b978d81cff85a38627a0fcce6fb4c94b41b9ad4d6408f0752c6; 032-scan2.jpg|3024x4032|2983140|2edbd02d5b61dc4e7168f562d7bf0828c1bd4563c1a13dba68421a3f4c5de106,,[],unreviewed,,,,
33,1,033.jpg|3024x4032|7622352|a73d6244621ae989e338649c484b16e5cb680dfc1eaadebca0a30f18b8870e19,,[],unreviewed,,,,
34,1,034.jpg|3024x4032|6369883|996e62aea86ebac5b7d2427c4988941d8d9a32990585181e87380945643c57de,,[],unreviewed,,,,
35,1,035.jpg|3024x4032|8088217|3fc9028f7e603f79960a7d55f63da90fcfd2b3fa5af4da3c2ad604858c29136f,,[],unreviewed,,,,
36,1,036.jpg|3024x4032|6426884|ce6f34641f58871eadc143f9f9030215712519af8b551ecda47e7d37d9d545ec,,[],unreviewed,,,,
37,2,037.jpg|3024x4032|3171107|f6c1d29e6f59ff721406d53697d313adfd1230d1e7726db8a3b6155aa4611cd1; 037-scan2.jpg|3024x4032|6224107|1f245d0fa4887283e398b4f97d945d2a9538b3ac7bfe8cdccaca16364043979b,,[],unreviewed,,,,
38,1,038.jpg|3024x4032|7300669|133dbb96f91da1bf90374e768b5623cf91d3ee35aaadf65cbfa3e3fc6d228b04,,[],unreviewed,,,,
39,1,039.jpg|3024x4032|6161674|7bb711335d8b30611dab766ba613017db53b74b125bbbe4b50e60ecbc0294e9f,,[],unreviewed,,,,
40,3,040.jpg|3024x4032|7928302|0e310a2d3b4afee324a91fa6c95512a38ae1b954e63629beb7fcf6577a0f40b6; 040-scan2.jpg|3024x4032|7307618|f8468795a233cc71981c906c49cc118808a4375d32408a53afb1e0d423f8800d; 040-scan3.jpg|3024x4032|7555599|cc853e25bd1d494a39a344705b913b5c23e9de39778009bf1e7fe62f61a5c8db,,[],unreviewed,,,,
41,3,041.jpg|3024x4032|8118470|b967b27df416b914c44c640fc747aa372a434f5a0c7cf63d2b12eb104544aa43; 041-scan2.jpg|3024x4032|7786278|56397d0365445600401bf4420d8270790c491d5974df34b9580964541e158198; 041-scan3.jpg|3024x4032|7432731|564f1dce4a8171135e98068b7de6a543ff8f1e6e31ea583577cc296a9c1dba63,,[],unreviewed,,,,
42,2,042.jpg|3024x4032|7979007|b2013a33265e98e129d3175eec79f4525425534159675010acc7722bbee41bc7; 042-scan2.jpg|3024x4032|7330730|0cbc409de4ea8dfa22bb6bec53e4fecbe39160d26847fba9fe2dfdb421445df1,,[],unreviewed,,,,
43,2,043.jpg|3024x4032|6774357|5c5cb24cdf697003d1d2161f89e824a708909e3590de526eb80bcc8c395a79f6; 043-scan2.jpg|3024x4032|6176206|655f0403c7c30f4fc87f752d038b01e91b71ef3e08cc722e29d2205feb0de242,,[],unreviewed,,,,
44,2,044.jpg|3024x4032|6084799|a28b08d8c4e411dd4fa2c502ba7a49aacae1d70966f4503a8d0ad60fbbfdbfe3; 044-scan2.jpg|3024x4032|6072187|42651b62c0d19f995ae54f91ed25d5ea8c98e7e8a11b4fb8bc598d9c15d81b83,,[],unreviewed,,,,
45,2,045.jpg|3024x4032|7819047|1d6c656158e50ffb9afaf461601aeac80532de123361922397cc32121b69ce78; 045-scan2.jpg|3024x4032|7224811|28d9055be0f50b72e526e0ca3e111b8ef1ec2318872522082490b38e87cef1ec,,[],unreviewed,,,,
46,2,046.jpg|3024x4032|7470128|c85fc0c7c92aa3e0a7c72b761b289e36308ab8a2d3185a94622ccca7fe00cc03; 046-scan2.jpg|3024x4032|7382824|155f8752e8f4395c50c782d33eab3005fb24c65c59b2c31c77f970a57e6681c2,,[],unreviewed,,,,
47,2,047.jpg|3024x4032|7489810|0a58f51776ff7e9b111dc2e4e2817726e83ac505c272207afea269802d515325; 047-scan2.jpg|3024x4032|7668453|970459ead41299448bf8ba2c21209708bbbe53d6fc91d432e33103f72334302c,,[],unreviewed,,,,
48,2,048.jpg|3024x4032|7519370|d27d4452f7b35c93d8127818b5537dbf20c0661a3b362bac6dab6875993119f0; 048-scan2.jpg|3024x4032|7491410|d11d9f464ff35b3603f8874c60d56752138f95b6b032d24f21e19960f810c43c,,[],unreviewed,,,,
49,1,049.jpg|3024x4032|6344697|feac6c5be7736f2e43f2a44424c0d2b24129690c1b4fcc6de7a5ab6575e3890b,,[],unreviewed,,,,
