item_id,kind,source_image,page_number,reason,detail,status,resolution,resolved_by,resolved_date
image_anomaly:m276.jpeg:unparseable_filename,image_anomaly,m276.jpeg,,unparseable_filename,unparseable filename,open,,,
image_anomaly:page-065 1.jpeg:too_small,image_anomaly,page-065 1.jpeg,,too_small,too small,open,,,
image_anomaly:page-065 1.jpeg:unparseable_filename,image_anomaly,page-065 1.jpeg,,unparseable_filename,unparseable filename,open,,,
image_anomaly:page-076 1.jpeg:unparseable_filename,image_anomaly,page-076 1.jpeg,,unparseable_filename,unparseable filename,open,,,
ocr_reject:page-030p1.jpeg:line_count_below_band,ocr_reject,page-030p1.jpeg,,line_count_below_band,mean_confidence=1 low_confidence_count=0 line_count=1,open,,,
ocr_reject:page-030p2.jpeg:line_count_below_band,ocr_reject,page-030p2.jpeg,,line_count_below_band,mean_confidence=1 low_confidence_count=0 line_count=1,open,,,
ocr_reject:page-065 1.jpeg:mean_confidence_below_threshold,ocr_reject,page-065 1.jpeg,,mean_confidence_below_threshold,mean_confidence=0 low_confidence_count=0 line_count=0,open,,,
ocr_reject:page-065 1.jpeg:low_confidence_fraction_above_threshold,ocr_reject,page-065 1.jpeg,,low_confidence_fraction_above_threshold,mean_confidence=0 low_confidence_count=0 line_count=0,open,,,
ocr_reject:page-065 1.jpeg:line_count_below_band,ocr_reject,page-065 1.jpeg,,line_count_below_band,mean_confidence=0 low_confidence_count=0 line_count=0,open,,,
ocr_reject:m276.jpeg:line_count_below_band,ocr_reject,m276.jpeg,,line_count_below_band,mean_confidence=1 low_confidence_count=0 line_count=1,open,,,
parse_ambiguous:psilochilus:uncertain_field:SUMMARY,parse_ambiguous,page-050.jpeg,50,uncertain_field,"Psilochilus field SUMMARY: Terrestrial or epiphytic, plants with creeping rhizomes. This is a monotypic gen",open,,,
parse_ambiguous:psilochilus:Psilochilus macrophyllus:uncertain_field:SUMMARY,parse_ambiguous,page-050.jpeg,50,uncertain_field,"Psilochilus macrophyllus field SUMMARY: Fasc. 7: 45 (1922). Type: locality unknown, Linden (holo. K-LINDL.!). Pogonia ma",open,,,
parse_ambiguous:epistephium:discontinuity:page-064.jpeg,parse_ambiguous,page-064.jpeg,64,discontinuity,Epistephium: running head named a different genus than expected,open,,,
parse_ambiguous:epistephium:uncertain_field:SUMMARY,parse_ambiguous,page-050.jpeg,50,uncertain_field,"Epistephium field SUMMARY: Terrestrial herbs. A genus of about 20 species known from Belize, Trinidad and n",open,,,
parse_ambiguous:epistephium:Epistephium ellipticum:uncertain_field:SUMMARY,parse_ambiguous,page-050.jpeg,50,uncertain_field,"Epistephium ellipticum field SUMMARY: in Kew Bull.: 145 (1928). Type: Trinidad, Freeman, Williams & Cheesman (holo. TR",open,,,
parse_ambiguous:epistephium:Epistephium tenuifolium:uncertain_field:SUMMARY,parse_ambiguous,page-050.jpeg,50,uncertain_field,"Epistephium tenuifolium field SUMMARY: silica 12(2): 42, t.31 (1945). E minutum Barb.-Rodr. ex Hoehne, Fl. Brasilica 12",open,,,
parse_ambiguous:clowesia:ambiguous_genus_boundary:page-066.jpeg,parse_ambiguous,page-066.jpeg,66,ambiguous_genus_boundary,Clowesia: no genus header and no readable running head -- can't confirm which genus's treatment this page continues,open,,,
parse_ambiguous:clowesia:uncertain_field:SUMMARY,parse_ambiguous,page-065.jpeg,65,uncertain_field,Clowesia field SUMMARY: sometimes known as the 'Pipe Orchid'. shoots appear at the end of the season. ri,open,,,
