item_id,kind,genus_id,reason,detail,status,resolution,resolved_by,resolved_date
matrix:erythrodes:all_not_stated,all_not_stated,erythrodes,all_not_stated,Erythrodes: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:corymborkis:all_not_stated,all_not_stated,corymborkis,all_not_stated,Corymborkis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:goodyera:all_not_stated,all_not_stated,goodyera,all_not_stated,Goodyera: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:prescottia:all_not_stated,all_not_stated,prescottia,all_not_stated,Prescottia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:cyclopogon:all_not_stated,all_not_stated,cyclopogon,all_not_stated,Cyclopogon: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:eurystyles:all_not_stated,all_not_stated,eurystyles,all_not_stated,Eurystyles: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:lyroglossa:all_not_stated,all_not_stated,lyroglossa,all_not_stated,Lyroglossa: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:mesadenella:all_not_stated,all_not_stated,mesadenella,all_not_stated,Mesadenella: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:pseudogoodyera:all_not_stated,all_not_stated,pseudogoodyera,all_not_stated,Pseudogoodyera: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:sacoila:all_not_stated,all_not_stated,sacoila,all_not_stated,Sacoila: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:sarcoglottis:all_not_stated,all_not_stated,sarcoglottis,all_not_stated,Sarcoglottis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:spiranthes:all_not_stated,all_not_stated,spiranthes,all_not_stated,Spiranthes: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:cranichis:all_not_stated,all_not_stated,cranichis,all_not_stated,Cranichis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:habenaria:all_not_stated,all_not_stated,habenaria,all_not_stated,Habenaria: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:vanilla:all_not_stated,all_not_stated,vanilla,all_not_stated,Vanilla: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:malaxis:all_not_stated,all_not_stated,malaxis,all_not_stated,Malaxis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:liparis:all_not_stated,all_not_stated,liparis,all_not_stated,Liparis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:eulophia:all_not_stated,all_not_stated,eulophia,all_not_stated,Eulophia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:cyrtopodium:all_not_stated,all_not_stated,cyrtopodium,all_not_stated,Cyrtopodium: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:eriopsis:all_not_stated,all_not_stated,eriopsis,all_not_stated,Eriopsis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:catasetum:all_not_stated,all_not_stated,catasetum,all_not_stated,Catasetum: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:galeandra:all_not_stated,all_not_stated,galeandra,all_not_stated,Galeandra: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:clowesia:all_not_stated,all_not_stated,clowesia,all_not_stated,Clowesia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:cycnoches:all_not_stated,all_not_stated,cycnoches,all_not_stated,Cycnoches: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:mormodes:all_not_stated,all_not_stated,mormodes,all_not_stated,Mormodes: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:cryptarrhena:all_not_stated,all_not_stated,cryptarrhena,all_not_stated,Cryptarrhena: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:dichaea:all_not_stated,all_not_stated,dichaea,all_not_stated,Dichaea: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:galeottia:all_not_stated,all_not_stated,galeottia,all_not_stated,Galeottia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:koellensteinia:all_not_stated,all_not_stated,koellensteinia,all_not_stated,Koellensteinia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:huntleya:all_not_stated,all_not_stated,huntleya,all_not_stated,Huntleya: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:lycaste:all_not_stated,all_not_stated,lycaste,all_not_stated,Lycaste: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:teuscheria:all_not_stated,all_not_stated,teuscheria,all_not_stated,Teuscheria: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:xylobium:all_not_stated,all_not_stated,xylobium,all_not_stated,Xylobium: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:maxillaria:all_not_stated,all_not_stated,maxillaria,all_not_stated,Maxillaria: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:mormolyca:all_not_stated,all_not_stated,mormolyca,all_not_stated,Mormolyca: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:trigonidium:all_not_stated,all_not_stated,trigonidium,all_not_stated,Trigonidium: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:coryanthes:all_not_stated,all_not_stated,coryanthes,all_not_stated,Coryanthes: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:gongora:all_not_stated,all_not_stated,gongora,all_not_stated,Gongora: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:lacaena:all_not_stated,all_not_stated,lacaena,all_not_stated,Lacaena: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:stanhopea:all_not_stated,all_not_stated,stanhopea,all_not_stated,Stanhopea: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:ornithocephalus:all_not_stated,all_not_stated,ornithocephalus,all_not_stated,Ornithocephalus: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:brassia:all_not_stated,all_not_stated,brassia,all_not_stated,Brassia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:ionopsis:all_not_stated,all_not_stated,ionopsis,all_not_stated,Ionopsis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:lockhartia:all_not_stated,all_not_stated,lockhartia,all_not_stated,Lockhartia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:macradenia:all_not_stated,all_not_stated,macradenia,all_not_stated,Macradenia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:notylia:all_not_stated,all_not_stated,notylia,all_not_stated,Notylia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:oncidium:all_not_stated,all_not_stated,oncidium,all_not_stated,Oncidium: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:trichopilia:all_not_stated,all_not_stated,trichopilia,all_not_stated,Trichopilia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:bletia:all_not_stated,all_not_stated,bletia,all_not_stated,Bletia: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:chysis:all_not_stated,all_not_stated,chysis,all_not_stated,Chysis: no character could be confidently extracted from its Phase 1 field text,open,,,
matrix:elleanthus:all_not_stated,all_not_stated,elleanthus,all_not_stated,Elleanthus: no character could be confidently extracted from its Phase 1 field text,open,,,
